,Brand,Model,Year,Fuel,KM driven,Price
0,KIA,SELTOS,2020,Petrol,"5,822 km","₹11,33,599"
1,Maruti,Swift,2012,Diesel,"1,18,117 km","₹3,43,199"
2,Hyundai,Verna,2013,Diesel,"53,517 km","₹4,82,299"
3,Maruti,Swift,2013,Diesel,"49,944 km","₹3,54,299"
4,Maruti,Swift,2016,Diesel,"1,06,080 km","₹4,49,299"
5,Maruti,Swift,2015,Petrol,"61,732 km","₹4,76,699"
6,Maruti,Swift,2014,Diesel,"1,02,773 km","₹4,30,299"
7,Maruti,New,2020,Petrol,"6,879 km","₹4,98,799"
8,Audi,Q3,2015,Diesel,"67,720 km","₹15,60,499"
9,Ford,Ecosport,2014,Diesel,"62,254 km","₹5,34,299"
10,Honda,Amaze,2015,Petrol,"62,462 km","₹4,89,699"
11,Maruti,Swift,2015,Diesel,"37,925 km","₹4,05,199"
12,Datsun,Redi,2018,Petrol,"21,607 km","₹3,40,399"
13,Ford,Ecosport,2018,Diesel,"21,169 km","₹8,67,799"
14,Hyundai,Creta,2016,Diesel,"95,195 km","₹8,56,199"
15,Maruti,Vitara,2018,Diesel,"71,192 km","₹7,19,399"
16,Maruti,Vitara,2018,Diesel,"54,687 km","₹7,54,299"
17,Ford,New,2017,Diesel,"41,678 km","₹4,82,699"
18,Toyota,Innova,2014,Diesel,"86,859 km","₹7,08,499"
19,Hyundai,NEW,2019,Petrol,"9,137 km","₹4,31,999"
20,Tata,Tiago,2017,Petrol,"80,573 km","₹4,59,599"
21,Maruti,Vitara,2017,Diesel,"34,749 km","₹8,27,899"
22,Maruti,Vitara,2017,Diesel,"83,741 km","₹7,00,299"
23,Maruti,Swift,2015,Diesel,"53,260 km","₹5,98,999"
24,Maruti,Swift,2015,Diesel,"76,264 km","₹4,55,299"
25,Maruti,Swift,2012,Diesel,"54,918 km","₹4,55,499"
26,Maruti,Swift,2015,Diesel,"1,04,005 km","₹4,04,899"
27,Maruti,Swift,2014,Diesel,"41,996 km","₹4,12,299"
28,Maruti,Alto,2017,Petrol,"63,567 km","₹3,48,699"
29,Maruti,Alto,2019,Petrol,"8,574 km","₹4,14,799"
30,Maruti,Vitara,2016,Diesel,"70,555 km","₹6,35,399"
31,Maruti,Swift,2015,Diesel,"56,552 km","₹4,68,599"
32,Ssangyong,Rexton,2014,Diesel,"45,187 km","₹6,48,399"
33,Hyundai,i20,2011,Petrol,"44,007 km","₹2,58,999"
34,Hyundai,i10,2011,Petrol,"55,623 km","₹1,88,799"
35,Hyundai,Grand,2016,Petrol,"26,951 km","₹4,15,399"
36,Maruti,Wagon,2009,Petrol,"36,035 km","₹1,48,199"
37,Renault,Kwid,2016,Petrol,"48,419 km","₹2,15,000"
38,Maruti,Alto,2020,Petrol + CNG,"19,593 km","₹3,54,799"
39,Maruti,Alto,2009,Petrol,"1,19,227 km","₹1,26,399"
40,Ford,Figo,2017,Petrol,"41,186 km","₹4,60,199"
41,Hyundai,Eon,2013,Petrol,"1,06,269 km","₹1,93,699"
42,Ford,Figo,2017,Petrol,"31,724 km","₹4,51,799"
43,Maruti,Swift,2012,Diesel,"31,084 km","₹3,14,499"
44,Maruti,Swift,2015,Diesel,"64,156 km","₹4,13,399"
45,Hyundai,Creta,2018,Diesel,"32,387 km","₹8,95,399"
46,Volkswagen,Ameo,2017,Petrol,"40,293 km","₹5,17,799"
47,Hyundai,Verna,2020,Petrol,"19,158 km","₹8,86,899"
48,Hyundai,Creta,2018,Petrol,"39,294 km","₹8,98,799"
49,Maruti,Ciaz,2016,Petrol,"76,459 km","₹5,47,499"
50,Maruti,Ciaz,2014,Diesel,"62,366 km","₹5,25,199"
51,Maruti,Vitara,2016,Diesel,"1,05,991 km","₹6,33,799"
52,Maruti,Vitara,2016,Diesel,"21,675 km","₹7,17,099"
53,Hyundai,Creta,2015,Petrol,"22,587 km","₹8,02,599"
54,Maruti,XL6,2019,Petrol,"11,659 km","₹9,78,999"
55,Maruti,Eeco,2018,Petrol,"18,876 km","₹3,40,699"
56,Maruti,Ciaz,2019,Petrol,"7,620 km","₹8,25,299"
57,Maruti,Baleno,2017,Petrol,"20,990 km","₹6,05,699"
58,Maruti,Baleno,2018,Petrol,"37,284 km","₹6,09,999"
59,Maruti,Alto,2017,Petrol,"27,919 km","₹2,88,799"
60,Maruti,Vitara,2018,Diesel,"82,601 km","₹6,36,299"
61,Honda,City,2020,Petrol,"10,322 km","₹12,71,199"
62,Mercedes,Benz,2016,Petrol,"19,041 km","₹23,22,099"
63,Maruti,Baleno,2019,Petrol,"20,976 km","₹6,91,199"
64,Maruti,Vitara,2018,Diesel,"61,718 km","₹6,50,599"
65,Maruti,Baleno,2019,Petrol,"21,930 km","₹6,01,799"
66,MG,HECTOR,2020,Petrol,"3,094 km","₹17,04,999"
67,Maruti,Baleno,2020,Petrol,"11,679 km","₹6,63,599"
68,Maruti,IGNIS,2017,Petrol,"34,135 km","₹5,03,799"
69,Maruti,Alto,2017,Petrol,"2,335 km","₹3,11,999"
70,Tata,Tiago,2018,Petrol,"25,562 km","₹4,80,999"
71,Maruti,Vitara,2018,Diesel,"43,568 km","₹7,76,099"
72,Maruti,Vitara,2018,Diesel,"28,144 km","₹9,13,699"
73,Hyundai,Elite,2017,Petrol,"64,918 km","₹5,03,999"
74,Skoda,Superb,2017,Petrol,"19,965 km","₹20,22,899"
75,Hyundai,Elite,2016,Diesel,"78,560 km","₹5,15,500"
76,Hyundai,GRAND,2019,Petrol,"3,747 km","₹6,22,699"
77,Renault,Kwid,2015,Petrol + CNG,"39,525 km","₹2,63,799"
78,Ford,Ecosport,2014,Diesel,"1,27,254 km","₹4,74,799"
79,BMW,3,2015,Diesel,"33,958 km","₹18,42,699"
80,Toyota,Innova,2017,Diesel,"85,295 km","₹14,99,499"
81,Hyundai,Grand,2017,Petrol,"64,350 km","₹4,52,299"
82,Maruti,Vitara,2016,Diesel,"41,629 km","₹7,84,299"
83,Maruti,Swift,2018,Petrol,"24,793 km","₹5,15,899"
84,Maruti,Vitara,2018,Diesel,"60,395 km","₹6,83,399"
85,Maruti,Vitara,2018,Diesel,"36,116 km","₹6,86,499"
86,Maruti,Vitara,2019,Diesel,"28,137 km","₹7,92,999"
87,Maruti,Baleno,2019,Petrol,"19,525 km","₹6,44,499"
88,Maruti,Vitara,2018,Diesel,"26,042 km","₹7,50,699"
89,Maruti,Wagon,2017,Petrol,"4,956 km","₹3,89,199"
90,Honda,Amaze,2016,Petrol + CNG,"66,399 km","₹4,82,099"
91,Maruti,Alto,2019,Petrol,"13,299 km","₹3,55,499"
92,Maruti,Eeco,2018,Petrol + CNG,"36,507 km","₹3,43,699"
93,Maruti,Ciaz,2017,Petrol,"55,212 km","₹5,83,799"
94,Maruti,Wagon,2017,Petrol,"24,743 km","₹3,41,199"
95,Maruti,Alto,2016,Petrol,"45,336 km","₹2,87,899"
96,Hyundai,Elite,2014,Diesel,"66,741 km","₹4,27,999"
97,Maruti,Alto,2018,Petrol + CNG,"35,216 km","₹2,83,699"
98,Hyundai,Grand,2017,Petrol,"30,615 km","₹4,08,899"
99,Maruti,Alto,2019,Petrol,"10,316 km","₹3,78,699"
100,Hyundai,Elite,2018,Petrol,"23,758 km","₹5,56,799"
101,Maruti,Alto,2012,Petrol,"28,151 km","₹1,98,599"
102,Maruti,Swift,2017,Diesel,"69,894 km","₹4,74,699"
103,Maruti,Swift,2014,Diesel,"71,450 km","₹3,30,599"
104,Maruti,Vitara,2019,Diesel,"31,245 km","₹7,89,499"
105,Maruti,Vitara,2016,Diesel,"92,569 km","₹6,69,099"
106,Maruti,Swift,2017,Petrol,"25,626 km","₹5,38,699"
107,Maruti,Swift,2019,Petrol,"31,304 km","₹5,25,499"
108,Skoda,Rapid,2017,Diesel,"1,38,467 km","₹5,99,099"
109,Maruti,Dzire,2019,Diesel,"26,352 km","₹6,29,899"
110,Maruti,Vitara,2018,Diesel,"34,119 km","₹6,99,499"
111,Hyundai,Grand,2018,Petrol,"16,558 km","₹4,83,399"
112,KIA,SELTOS,2020,Petrol,"5,822 km","₹11,33,599"
113,Maruti,Swift,2012,Diesel,"1,18,117 km","₹3,43,199"
114,Hyundai,Verna,2013,Diesel,"53,517 km","₹4,82,299"
115,Maruti,Swift,2013,Diesel,"49,944 km","₹3,54,299"
116,Maruti,Swift,2016,Diesel,"1,06,080 km","₹4,49,299"
117,Maruti,Swift,2015,Petrol,"61,732 km","₹4,76,699"
118,Maruti,Swift,2014,Diesel,"1,02,773 km","₹4,30,299"
119,Maruti,New,2020,Petrol,"6,879 km","₹4,98,799"
120,Audi,Q3,2015,Diesel,"67,720 km","₹15,60,499"
121,Ford,Ecosport,2014,Diesel,"62,254 km","₹5,34,299"
122,Honda,Amaze,2015,Petrol,"62,462 km","₹4,89,699"
123,Maruti,Swift,2015,Diesel,"37,925 km","₹4,05,199"
124,Datsun,Redi,2018,Petrol,"21,607 km","₹3,40,399"
125,Ford,Ecosport,2018,Diesel,"21,169 km","₹8,67,799"
126,Hyundai,Creta,2016,Diesel,"95,195 km","₹8,56,199"
127,Maruti,Vitara,2018,Diesel,"71,192 km","₹7,19,399"
128,Maruti,Vitara,2018,Diesel,"54,687 km","₹7,54,299"
129,Ford,New,2017,Diesel,"41,678 km","₹4,82,699"
130,Toyota,Innova,2014,Diesel,"86,859 km","₹7,08,499"
131,Hyundai,NEW,2019,Petrol,"9,137 km","₹4,31,999"
132,Tata,Tiago,2017,Petrol,"80,573 km","₹4,59,599"
133,Maruti,Vitara,2017,Diesel,"34,749 km","₹8,27,899"
134,Maruti,Vitara,2017,Diesel,"83,741 km","₹7,00,299"
135,Maruti,Swift,2015,Diesel,"53,260 km","₹5,98,999"
136,Maruti,Swift,2015,Diesel,"76,264 km","₹4,55,299"
137,Maruti,Swift,2012,Diesel,"54,918 km","₹4,55,499"
138,Maruti,Swift,2015,Diesel,"1,04,005 km","₹4,04,899"
139,Maruti,Swift,2014,Diesel,"41,996 km","₹4,12,299"
140,Maruti,Alto,2017,Petrol,"63,567 km","₹3,48,699"
141,Maruti,Alto,2019,Petrol,"8,574 km","₹4,14,799"
142,Maruti,Vitara,2016,Diesel,"70,555 km","₹6,35,399"
143,Maruti,Swift,2015,Diesel,"56,552 km","₹4,68,599"
144,Ssangyong,Rexton,2014,Diesel,"45,187 km","₹6,48,399"
145,Hyundai,i20,2011,Petrol,"44,007 km","₹2,58,999"
146,Hyundai,i10,2011,Petrol,"55,623 km","₹1,88,799"
147,Hyundai,Grand,2016,Petrol,"26,951 km","₹4,15,399"
148,Maruti,Wagon,2009,Petrol,"36,035 km","₹1,48,199"
149,Renault,Kwid,2016,Petrol,"48,419 km","₹2,15,000"
150,Maruti,Alto,2020,Petrol + CNG,"19,593 km","₹3,54,799"
151,Maruti,Alto,2009,Petrol,"1,19,227 km","₹1,26,399"
152,Ford,Figo,2017,Petrol,"41,186 km","₹4,60,199"
153,Hyundai,Eon,2013,Petrol,"1,06,269 km","₹1,93,699"
154,Ford,Figo,2017,Petrol,"31,724 km","₹4,51,799"
155,Maruti,Swift,2012,Diesel,"31,084 km","₹3,14,499"
156,Maruti,Swift,2015,Diesel,"64,156 km","₹4,13,399"
157,Hyundai,Creta,2018,Diesel,"32,387 km","₹8,95,399"
158,Volkswagen,Ameo,2017,Petrol,"40,293 km","₹5,17,799"
159,Hyundai,Verna,2020,Petrol,"19,158 km","₹8,86,899"
160,Hyundai,Creta,2018,Petrol,"39,294 km","₹8,98,799"
161,Maruti,Ciaz,2016,Petrol,"76,459 km","₹5,47,499"
162,Maruti,Ciaz,2014,Diesel,"62,366 km","₹5,25,199"
163,Maruti,Vitara,2016,Diesel,"1,05,991 km","₹6,33,799"
164,Maruti,Vitara,2016,Diesel,"21,675 km","₹7,17,099"
165,Hyundai,Creta,2015,Petrol,"22,587 km","₹8,02,599"
166,Maruti,XL6,2019,Petrol,"11,659 km","₹9,78,999"
167,Maruti,Eeco,2018,Petrol,"18,876 km","₹3,40,699"
168,Maruti,Ciaz,2019,Petrol,"7,620 km","₹8,25,299"
169,Maruti,Baleno,2017,Petrol,"20,990 km","₹6,05,699"
170,Maruti,Baleno,2018,Petrol,"37,284 km","₹6,09,999"
171,Maruti,Alto,2017,Petrol,"27,919 km","₹2,88,799"
172,Maruti,Vitara,2018,Diesel,"82,601 km","₹6,36,299"
173,Honda,City,2020,Petrol,"10,322 km","₹12,71,199"
174,Mercedes,Benz,2016,Petrol,"19,041 km","₹23,22,099"
175,Maruti,Baleno,2019,Petrol,"20,976 km","₹6,91,199"
176,Maruti,Vitara,2018,Diesel,"61,718 km","₹6,50,599"
177,Maruti,Baleno,2019,Petrol,"21,930 km","₹6,01,799"
178,MG,HECTOR,2020,Petrol,"3,094 km","₹17,04,999"
179,Maruti,Baleno,2020,Petrol,"11,679 km","₹6,63,599"
180,Maruti,IGNIS,2017,Petrol,"34,135 km","₹5,03,799"
181,Maruti,Alto,2017,Petrol,"2,335 km","₹3,11,999"
182,Tata,Tiago,2018,Petrol,"25,562 km","₹4,80,999"
183,Maruti,Vitara,2018,Diesel,"43,568 km","₹7,76,099"
184,Maruti,Vitara,2018,Diesel,"28,144 km","₹9,13,699"
185,Hyundai,Elite,2017,Petrol,"64,918 km","₹5,03,999"
186,Skoda,Superb,2017,Petrol,"19,965 km","₹20,22,899"
187,Hyundai,Elite,2016,Diesel,"78,560 km","₹5,15,500"
188,Hyundai,GRAND,2019,Petrol,"3,747 km","₹6,22,699"
189,Renault,Kwid,2015,Petrol + CNG,"39,525 km","₹2,63,799"
190,Ford,Ecosport,2014,Diesel,"1,27,254 km","₹4,74,799"
191,BMW,3,2015,Diesel,"33,958 km","₹18,42,699"
192,Toyota,Innova,2017,Diesel,"85,295 km","₹14,99,499"
193,Hyundai,Grand,2017,Petrol,"64,350 km","₹4,52,299"
194,Maruti,Vitara,2016,Diesel,"41,629 km","₹7,84,299"
195,Maruti,Swift,2018,Petrol,"24,793 km","₹5,15,899"
196,Maruti,Vitara,2018,Diesel,"60,395 km","₹6,83,399"
197,Maruti,Vitara,2018,Diesel,"36,116 km","₹6,86,499"
198,Maruti,Vitara,2019,Diesel,"28,137 km","₹7,92,999"
199,Maruti,Baleno,2019,Petrol,"19,525 km","₹6,44,499"
200,Maruti,Vitara,2018,Diesel,"26,042 km","₹7,50,699"
201,Maruti,Wagon,2017,Petrol,"4,956 km","₹3,89,199"
202,Honda,Amaze,2016,Petrol + CNG,"66,399 km","₹4,82,099"
203,Maruti,Alto,2019,Petrol,"13,299 km","₹3,55,499"
204,Maruti,Eeco,2018,Petrol + CNG,"36,507 km","₹3,43,699"
205,Maruti,Ciaz,2017,Petrol,"55,212 km","₹5,83,799"
206,Maruti,Wagon,2017,Petrol,"24,743 km","₹3,41,199"
207,Maruti,Alto,2016,Petrol,"45,336 km","₹2,87,899"
208,Hyundai,Elite,2014,Diesel,"66,741 km","₹4,27,999"
209,Maruti,Alto,2018,Petrol + CNG,"35,216 km","₹2,83,699"
210,Hyundai,Grand,2017,Petrol,"30,615 km","₹4,08,899"
211,Maruti,Alto,2019,Petrol,"10,316 km","₹3,78,699"
212,Hyundai,Elite,2018,Petrol,"23,758 km","₹5,56,799"
213,Maruti,Alto,2012,Petrol,"28,151 km","₹1,98,599"
214,Maruti,Swift,2017,Diesel,"69,894 km","₹4,74,699"
215,Maruti,Swift,2014,Diesel,"71,450 km","₹3,30,599"
216,Maruti,Vitara,2019,Diesel,"31,245 km","₹7,89,499"
217,Maruti,Vitara,2016,Diesel,"92,569 km","₹6,69,099"
218,Maruti,Swift,2017,Petrol,"25,626 km","₹5,38,699"
219,Maruti,Swift,2019,Petrol,"31,304 km","₹5,25,499"
220,Skoda,Rapid,2017,Diesel,"1,38,467 km","₹5,99,099"
221,Maruti,Dzire,2019,Diesel,"26,352 km","₹6,29,899"
222,Maruti,Vitara,2018,Diesel,"34,119 km","₹6,99,499"
223,Hyundai,Grand,2018,Petrol,"16,558 km","₹4,83,399"
224,KIA,SELTOS,2020,Petrol,"5,822 km","₹11,33,599"
225,Maruti,Swift,2012,Diesel,"1,18,117 km","₹3,43,199"
226,Hyundai,Verna,2013,Diesel,"53,517 km","₹4,82,299"
227,Maruti,Swift,2013,Diesel,"49,944 km","₹3,54,299"
228,Maruti,Swift,2016,Diesel,"1,06,080 km","₹4,49,299"
229,Maruti,Swift,2015,Petrol,"61,732 km","₹4,76,699"
230,Maruti,Swift,2014,Diesel,"1,02,773 km","₹4,30,299"
231,Maruti,New,2020,Petrol,"6,879 km","₹4,98,799"
232,Audi,Q3,2015,Diesel,"67,720 km","₹15,60,499"
233,Ford,Ecosport,2014,Diesel,"62,254 km","₹5,34,299"
234,Honda,Amaze,2015,Petrol,"62,462 km","₹4,89,699"
235,Maruti,Swift,2015,Diesel,"37,925 km","₹4,05,199"
236,Datsun,Redi,2018,Petrol,"21,607 km","₹3,40,399"
237,Ford,Ecosport,2018,Diesel,"21,169 km","₹8,67,799"
238,Hyundai,Creta,2016,Diesel,"95,195 km","₹8,56,199"
239,Maruti,Vitara,2018,Diesel,"71,192 km","₹7,19,399"
240,Maruti,Vitara,2018,Diesel,"54,687 km","₹7,54,299"
241,Ford,New,2017,Diesel,"41,678 km","₹4,82,699"
242,Toyota,Innova,2014,Diesel,"86,859 km","₹7,08,499"
243,Hyundai,NEW,2019,Petrol,"9,137 km","₹4,31,999"
244,Tata,Tiago,2017,Petrol,"80,573 km","₹4,59,599"
245,Maruti,Vitara,2017,Diesel,"34,749 km","₹8,27,899"
246,Maruti,Vitara,2017,Diesel,"83,741 km","₹7,00,299"
247,Maruti,Swift,2015,Diesel,"53,260 km","₹5,98,999"
248,Maruti,Swift,2015,Diesel,"76,264 km","₹4,55,299"
249,Maruti,Swift,2012,Diesel,"54,918 km","₹4,55,499"
250,Maruti,Swift,2015,Diesel,"1,04,005 km","₹4,04,899"
251,Maruti,Swift,2014,Diesel,"41,996 km","₹4,12,299"
252,Maruti,Alto,2017,Petrol,"63,567 km","₹3,48,699"
253,Maruti,Alto,2019,Petrol,"8,574 km","₹4,14,799"
254,Maruti,Vitara,2016,Diesel,"70,555 km","₹6,35,399"
255,Maruti,Swift,2015,Diesel,"56,552 km","₹4,68,599"
256,Ssangyong,Rexton,2014,Diesel,"45,187 km","₹6,48,399"
257,Hyundai,i20,2011,Petrol,"44,007 km","₹2,58,999"
258,Hyundai,i10,2011,Petrol,"55,623 km","₹1,88,799"
259,Hyundai,Grand,2016,Petrol,"26,951 km","₹4,15,399"
260,Maruti,Wagon,2009,Petrol,"36,035 km","₹1,48,199"
261,Renault,Kwid,2016,Petrol,"48,419 km","₹2,15,000"
262,Maruti,Alto,2020,Petrol + CNG,"19,593 km","₹3,54,799"
263,Maruti,Alto,2009,Petrol,"1,19,227 km","₹1,26,399"
264,Ford,Figo,2017,Petrol,"41,186 km","₹4,60,199"
265,Hyundai,Eon,2013,Petrol,"1,06,269 km","₹1,93,699"
266,Ford,Figo,2017,Petrol,"31,724 km","₹4,51,799"
267,Maruti,Swift,2012,Diesel,"31,084 km","₹3,14,499"
268,Maruti,Swift,2015,Diesel,"64,156 km","₹4,13,399"
269,Hyundai,Creta,2018,Diesel,"32,387 km","₹8,95,399"
270,Volkswagen,Ameo,2017,Petrol,"40,293 km","₹5,17,799"
271,Hyundai,Verna,2020,Petrol,"19,158 km","₹8,86,899"
272,Hyundai,Creta,2018,Petrol,"39,294 km","₹8,98,799"
273,Maruti,Ciaz,2016,Petrol,"76,459 km","₹5,47,499"
274,Maruti,Ciaz,2014,Diesel,"62,366 km","₹5,25,199"
275,Maruti,Vitara,2016,Diesel,"1,05,991 km","₹6,33,799"
276,Maruti,Vitara,2016,Diesel,"21,675 km","₹7,17,099"
277,Hyundai,Creta,2015,Petrol,"22,587 km","₹8,02,599"
278,Maruti,XL6,2019,Petrol,"11,659 km","₹9,78,999"
279,Maruti,Eeco,2018,Petrol,"18,876 km","₹3,40,699"
280,Maruti,Ciaz,2019,Petrol,"7,620 km","₹8,25,299"
281,Maruti,Baleno,2017,Petrol,"20,990 km","₹6,05,699"
282,Maruti,Baleno,2018,Petrol,"37,284 km","₹6,09,999"
283,Maruti,Alto,2017,Petrol,"27,919 km","₹2,88,799"
284,Maruti,Vitara,2018,Diesel,"82,601 km","₹6,36,299"
285,Honda,City,2020,Petrol,"10,322 km","₹12,71,199"
286,Mercedes,Benz,2016,Petrol,"19,041 km","₹23,22,099"
287,Maruti,Baleno,2019,Petrol,"20,976 km","₹6,91,199"
288,Maruti,Vitara,2018,Diesel,"61,718 km","₹6,50,599"
289,Maruti,Baleno,2019,Petrol,"21,930 km","₹6,01,799"
290,MG,HECTOR,2020,Petrol,"3,094 km","₹17,04,999"
291,Maruti,Baleno,2020,Petrol,"11,679 km","₹6,63,599"
292,Maruti,IGNIS,2017,Petrol,"34,135 km","₹5,03,799"
293,Maruti,Alto,2017,Petrol,"2,335 km","₹3,11,999"
294,Tata,Tiago,2018,Petrol,"25,562 km","₹4,80,999"
295,Maruti,Vitara,2018,Diesel,"43,568 km","₹7,76,099"
296,Maruti,Vitara,2018,Diesel,"28,144 km","₹9,13,699"
297,Hyundai,Elite,2017,Petrol,"64,918 km","₹5,03,999"
298,Skoda,Superb,2017,Petrol,"19,965 km","₹20,22,899"
299,Hyundai,Elite,2016,Diesel,"78,560 km","₹5,15,500"
300,Hyundai,GRAND,2019,Petrol,"3,747 km","₹6,22,699"
301,Renault,Kwid,2015,Petrol + CNG,"39,525 km","₹2,63,799"
302,Ford,Ecosport,2014,Diesel,"1,27,254 km","₹4,74,799"
303,BMW,3,2015,Diesel,"33,958 km","₹18,42,699"
304,Toyota,Innova,2017,Diesel,"85,295 km","₹14,99,499"
305,Hyundai,Grand,2017,Petrol,"64,350 km","₹4,52,299"
306,Maruti,Vitara,2016,Diesel,"41,629 km","₹7,84,299"
307,Maruti,Swift,2018,Petrol,"24,793 km","₹5,15,899"
308,Maruti,Vitara,2018,Diesel,"60,395 km","₹6,83,399"
309,Maruti,Vitara,2018,Diesel,"36,116 km","₹6,86,499"
310,Maruti,Vitara,2019,Diesel,"28,137 km","₹7,92,999"
311,Maruti,Baleno,2019,Petrol,"19,525 km","₹6,44,499"
312,Maruti,Vitara,2018,Diesel,"26,042 km","₹7,50,699"
313,Maruti,Wagon,2017,Petrol,"4,956 km","₹3,89,199"
314,Honda,Amaze,2016,Petrol + CNG,"66,399 km","₹4,82,099"
315,Maruti,Alto,2019,Petrol,"13,299 km","₹3,55,499"
316,Maruti,Eeco,2018,Petrol + CNG,"36,507 km","₹3,43,699"
317,Maruti,Ciaz,2017,Petrol,"55,212 km","₹5,83,799"
318,Maruti,Wagon,2017,Petrol,"24,743 km","₹3,41,199"
319,Maruti,Alto,2016,Petrol,"45,336 km","₹2,87,899"
320,Hyundai,Elite,2014,Diesel,"66,741 km","₹4,27,999"
321,Maruti,Alto,2018,Petrol + CNG,"35,216 km","₹2,83,699"
322,Hyundai,Grand,2017,Petrol,"30,615 km","₹4,08,899"
323,Maruti,Alto,2019,Petrol,"10,316 km","₹3,78,699"
324,Hyundai,Elite,2018,Petrol,"23,758 km","₹5,56,799"
325,Maruti,Alto,2012,Petrol,"28,151 km","₹1,98,599"
326,Maruti,Swift,2017,Diesel,"69,894 km","₹4,74,699"
327,Maruti,Swift,2014,Diesel,"71,450 km","₹3,30,599"
328,Maruti,Vitara,2019,Diesel,"31,245 km","₹7,89,499"
329,Maruti,Vitara,2016,Diesel,"92,569 km","₹6,69,099"
330,Maruti,Swift,2017,Petrol,"25,626 km","₹5,38,699"
331,Maruti,Swift,2019,Petrol,"31,304 km","₹5,25,499"
332,Skoda,Rapid,2017,Diesel,"1,38,467 km","₹5,99,099"
333,Maruti,Dzire,2019,Diesel,"26,352 km","₹6,29,899"
334,Maruti,Vitara,2018,Diesel,"34,119 km","₹6,99,499"
335,Hyundai,Grand,2018,Petrol,"16,558 km","₹4,83,399"
336,Toyota,Camry,2009,Petrol,"99,864 km","₹3,07,299"
337,Maruti,Dzire,2017,Petrol,"19,822 km","₹6,28,699"
338,Maruti,Dzire,2017,Diesel,"15,738 km","₹6,71,699"
339,Ford,Figo,2018,Diesel,"47,965 km","₹5,16,399"
340,Hyundai,Elite,2017,Petrol,"11,375 km","₹6,37,399"
341,Hyundai,Creta,2016,Petrol,"39,036 km","₹9,44,399"
342,KIA,SELTOS,2020,Diesel,"20,305 km","₹15,57,599"
343,Hyundai,Creta,2018,Diesel,"48,945 km","₹9,09,099"
344,Maruti,Swift,2016,Diesel,"82,420 km","₹5,34,399"
345,Hyundai,Elite,2017,Petrol,"32,251 km","₹6,10,899"
346,Hyundai,VENUE,2020,Petrol,547 km,"₹8,26,399"
347,Maruti,Alto,2016,Petrol,"16,709 km","₹2,66,799"
348,Mahindra,Kuv100,2016,Petrol,"44,486 km","₹3,90,799"
349,Hyundai,Creta,2018,Diesel,"42,360 km","₹13,07,499"
350,Maruti,Alto,2017,Petrol,"16,069 km","₹3,07,599"
351,Ford,Ecosport,2014,Petrol,"39,985 km","₹5,67,399"
352,Maruti,Celerio,2018,Petrol,"15,478 km","₹4,72,699"
353,Hyundai,Creta,2015,Diesel,"1,10,584 km","₹9,07,699"
354,Volkswagen,Ameo,2016,Petrol,"31,192 km","₹5,26,499"
355,MG,HECTOR,2020,Petrol,"8,149 km","₹16,99,799"
356,Hyundai,Xcent,2014,Petrol,"56,864 km","₹3,97,799"
357,Hyundai,i20,2017,Petrol,"57,900 km","₹5,82,699"
358,Hyundai,Elite,2014,Petrol,"43,096 km","₹5,12,599"
359,Maruti,Vitara,2016,Diesel,"97,103 km","₹7,73,199"
360,Maruti,Vitara,2018,Diesel,"36,894 km","₹8,24,199"
361,Honda,WR-V,2017,Petrol,"1,00,164 km","₹6,92,499"
362,Hyundai,i20,2016,Diesel,"82,548 km","₹5,96,399"
363,Honda,WR-V,2017,Petrol,"37,871 km","₹7,23,799"
364,Honda,Brio,2015,Petrol,"30,487 km","₹3,82,699"
365,Honda,WR-V,2017,Diesel,"53,017 km","₹7,61,999"
366,Maruti,Dzire,2017,Diesel,"1,07,185 km","₹6,74,399"
367,Hyundai,VENUE,2019,Diesel,"11,482 km","₹9,11,699"
368,Hyundai,Creta,2016,Petrol,"36,863 km","₹8,76,399"
369,Hyundai,VENUE,2019,Diesel,"23,558 km","₹9,94,699"
370,Maruti,Dzire,2017,Petrol,"92,719 km","₹7,17,899"
371,Maruti,Dzire,2017,Diesel,"40,204 km","₹7,30,399"
372,Hyundai,Elite,2016,Petrol,"45,362 km","₹5,60,499"
373,Maruti,Celerio,2014,Petrol,"24,317 km","₹3,83,299"
374,Maruti,Baleno,2016,Petrol,"50,022 km","₹5,12,799"
375,Hyundai,Elite,2017,Petrol,"11,371 km","₹5,39,199"
376,Maruti,S,2017,Diesel,"32,479 km","₹7,16,799"
377,KIA,SELTOS,2019,Petrol,"14,320 km","₹17,28,499"
378,KIA,SELTOS,2019,Petrol,"5,348 km","₹18,49,799"
379,Volkswagen,Vento,2015,Petrol,"62,093 km","₹5,46,399"
380,Hyundai,Elite,2018,Petrol,"21,666 km","₹5,83,399"
381,Maruti,S,2017,Diesel,"43,867 km","₹7,38,799"
382,Maruti,Swift,2019,Petrol,"4,888 km","₹7,03,499"
383,Maruti,Ertiga,2017,Diesel,"46,339 km","₹7,70,599"
384,Maruti,IGNIS,2017,Petrol,"12,099 km","₹4,76,599"
385,KIA,SELTOS,2019,Petrol,"12,046 km","₹17,78,199"
386,Maruti,Swift,2020,Petrol,"16,286 km","₹6,15,399"
387,Hyundai,Elite,2019,Petrol,"1,898 km","₹7,34,399"
388,Volkswagen,Polo,2017,Petrol,"12,773 km","₹7,47,099"
