,Brand,Model,Year,Fuel,KM driven,Price
1235,Hyundai,i10,2014,Petrol,"61,003 km","₹3,77,099"
1236,Hyundai,Grand,2016,Petrol,"13,645 km","₹5,34,199"
1237,Hyundai,NEW,2019,Petrol,"14,143 km","₹5,46,199"
1238,Hyundai,Grand,2017,Petrol,"35,356 km","₹5,31,099"
1239,Hyundai,Grand,2015,Petrol,"64,085 km","₹4,93,399"
1240,Hyundai,Grand,2014,Petrol,"31,454 km","₹4,14,499"
1241,Hyundai,Grand,2016,Petrol,"30,243 km","₹5,20,399"
1242,Hyundai,Grand,2018,Petrol,"11,430 km","₹8,27,999"
1243,Hyundai,Grand,2015,Petrol,"57,741 km","₹5,54,899"
1244,Hyundai,Grand,2016,Petrol,"15,831 km","₹5,54,699"
1245,Maruti,Wagon,2016,Petrol,"74,510 km","₹4,15,799"
1246,Renault,Kwid,2017,Petrol,"27,188 km","₹4,22,899"
1247,Renault,Kwid,2017,Petrol,"24,920 km","₹4,24,999"
1248,Renault,Kwid,2017,Petrol,"15,883 km","₹4,18,899"
1249,Hyundai,i10,2015,Petrol,"39,674 km","₹4,79,199"
1250,Hyundai,Grand,2015,Petrol,"35,879 km","₹4,48,299"
1251,Hyundai,Grand,2016,Petrol,"16,805 km","₹5,28,999"
1252,Maruti,Celerio,2019,Petrol,"21,303 km","₹5,56,599"
1253,Maruti,Celerio,2016,Petrol,"42,560 km","₹4,34,399"
1254,Hyundai,Grand,2016,Petrol,120 km,"₹5,41,099"
1255,Hyundai,i10,2016,Petrol,"14,315 km","₹4,38,699"
1256,Maruti,Wagon,2014,Petrol,"46,679 km","₹3,58,299"
1257,Maruti,Celerio,2015,Petrol,"63,466 km","₹4,49,599"
1258,Maruti,Alto,2013,Petrol,"39,062 km","₹2,76,499"
1259,Hyundai,i10,2012,Petrol,"48,208 km","₹3,76,699"
1260,Maruti,Eeco,2017,Petrol,"31,060 km","₹4,03,499"
1261,Maruti,Ritz,2015,Petrol,"54,899 km","₹4,91,099"
1262,Hyundai,i10,2011,Petrol,"81,717 km","₹3,90,799"
1263,Maruti,Alto,2015,Petrol,"38,512 km","₹3,04,999"
1264,Hyundai,NEW,2020,Petrol,"4,482 km","₹6,32,499"
1265,Maruti,Alto,2014,Petrol,"1,16,043 km","₹3,36,399"
1266,Hyundai,i10,2014,Petrol,"49,305 km","₹4,07,299"
1267,Maruti,Celerio,2016,Petrol,"3,171 km","₹4,67,399"
1268,Maruti,Ritz,2011,Petrol,"62,517 km","₹3,70,499"
1269,Maruti,Alto,2012,Petrol,"11,095 km","₹2,73,999"
1270,Maruti,Wagon,2015,Petrol,"36,544 km","₹4,55,299"
